"JM" "Two" "Comps" "Stat"
"1" 0.000531116357122916 0.0103258295064231 "k=1" "SingFunc"
"2" 1.97159620164972 1.28716600483312 "k=2" "SingFunc"
"3" 1.84756163624995 1.74066065997757 "k=3" "SingFunc"
"4" 0.00226386031094527 0.00631939350859451 "k=1" "FeatLoad"
"5" 1.05340462089508 0.871669346062961 "k=2" "FeatLoad"
"6" 1.02917733077385 1.02979645596871 "k=3" "FeatLoad"
"7" 0 0.00264472170535335 "all" "difR2"
"8" -1.33689929686815 6.6292635420929 "survLL" "sLL"
"9" 246061.635654023 243601.224620126 "jointLL" "jointLL"
"10" 3.61327228161623 3.44413017331085 "surv_coef" "surv_coef"
"11" 3.15252617928552 3.22124734982507 "surv_coef" "surv_coef"
"12" -0.198373318438933 -0.504264515469611 "surv_coef" "surv_coef"
"13" 0.0377134561317297 0.602608670637814 "surv_coef" "surv_coef"
"14" -0.318797248551572 -0.95420020154776 "surv_coef" "surv_coef"
