"JM" "Two" "Comps" "Stat"
"1" 0.000199904567509535 0.000641862579215052 "k=1" "SingFunc"
"2" 4.88753483086029e-05 0.000162749484405676 "k=2" "SingFunc"
"3" 0.00357636008985934 0.0029922914647122 "k=3" "SingFunc"
"4" 0.000758882209474677 0.000909419152309226 "k=1" "FeatLoad"
"5" 0.00326819709071538 0.00321095164371333 "k=2" "FeatLoad"
"6" 0.00530898759791278 0.00536010909474445 "k=3" "FeatLoad"
"7" 0 0.000542869060242146 "all" "difR2"
"8" -26.7888790671586 -23.798521226486 "survLL" "sLL"
"9" 750950.722492456 750301.36331935 "jointLL" "jointLL"
"10" 3.51323436668661 3.4569116879234 "surv_coef" "surv_coef"
"11" 2.79893068249842 2.7405721062459 "surv_coef" "surv_coef"
"12" -0.0662122911053718 -0.122041018130219 "surv_coef" "surv_coef"
"13" 0.227713320211592 0.490366382951779 "surv_coef" "surv_coef"
"14" 0.0338204546757212 0.0752564118154868 "surv_coef" "surv_coef"
