"JM" "Two" "Comps" "Stat"
"1" 0.00022575717291846 0.00110999260049423 "k=1" "SingFunc"
"2" 0.000267099957311828 0.000618714529326906 "k=2" "SingFunc"
"3" 0.00719040649769653 0.00598739162799779 "k=3" "SingFunc"
"4" 0.00129127601550605 0.00162494057152227 "k=1" "FeatLoad"
"5" 0.00471688872667658 0.00487856393201589 "k=2" "FeatLoad"
"6" 0.00744052829049003 0.00732757657560912 "k=3" "FeatLoad"
"7" 0 0.000568649506818453 "all" "difR2"
"8" -60.6742112691938 -54.3026156138937 "survLL" "sLL"
"9" 488373.692311588 487807.36415752 "jointLL" "jointLL"
"10" 3.26377068216656 3.20874207838094 "surv_coef" "surv_coef"
"11" 1.69195680408026 1.72882143767033 "surv_coef" "surv_coef"
"12" -0.0222335612146037 -0.141514477826608 "surv_coef" "surv_coef"
"13" 0.243930071595185 0.582773370682155 "surv_coef" "surv_coef"
"14" 0.0566675235345021 0.111178234253817 "surv_coef" "surv_coef"
