"JM" "Two" "Comps" "Stat"
"1" 5.95549123907361e-05 0.000691274076459602 "k=1" "SingFunc"
"2" 0.000112803542790207 0.000271711428123165 "k=2" "SingFunc"
"3" 0.00010873405012619 0.000428476448416828 "k=3" "SingFunc"
"4" 0.000789001718945275 0.00116232900419954 "k=1" "FeatLoad"
"5" 0.00256308348867211 0.00253299985489749 "k=2" "FeatLoad"
"6" 0.00480747202908955 0.00495361728372998 "k=3" "FeatLoad"
"7" 0 0.000552777629474477 "all" "difR2"
"8" -38.3622881303509 -30.3289506167335 "survLL" "sLL"
"9" 730259.248634839 729423.431985477 "jointLL" "jointLL"
"10" 3.78708874461838 3.76179347049047 "surv_coef" "surv_coef"
"11" 2.60328614147255 2.59541588880149 "surv_coef" "surv_coef"
"12" -0.16099703899923 -0.273747718099483 "surv_coef" "surv_coef"
"13" 0.209874256278699 0.525645852192588 "surv_coef" "surv_coef"
"14" -0.0185615806386543 -0.0976697904518532 "surv_coef" "surv_coef"
