"JM" "Two" "Comps" "Stat"
"1" 9.25693200860637e-05 0.000741919812370792 "k=1" "SingFunc"
"2" 0.000112760110294631 0.000167408427236676 "k=2" "SingFunc"
"3" 0.00014969201980192 0.000257099457200453 "k=3" "SingFunc"
"4" 0.000684011973668577 0.000846433931573977 "k=1" "FeatLoad"
"5" 0.00299278121318102 0.00300143394201208 "k=2" "FeatLoad"
"6" 0.00487464610518073 0.00485715338493946 "k=3" "FeatLoad"
"7" 0 0.000570485062277082 "all" "difR2"
"8" -35.2333458222733 -29.2371566207231 "survLL" "sLL"
"9" 746728.795612945 745912.34801683 "jointLL" "jointLL"
"10" 3.58365601155681 3.48739578655326 "surv_coef" "surv_coef"
"11" 2.49133179178779 2.40571028119914 "surv_coef" "surv_coef"
"12" -0.0698738772115246 -0.122120298174389 "surv_coef" "surv_coef"
"13" 0.166363122867525 0.417047919393167 "surv_coef" "surv_coef"
"14" 0.0447846441891864 0.110049516756705 "surv_coef" "surv_coef"
