"JM" "Two" "Comps" "Stat"
"1" 0.000823549486786034 0.000875893669751551 "k=1" "SingFunc"
"2" 0.000294906892092901 0.000353286711696006 "k=2" "SingFunc"
"3" 0.0402649858847418 0.0410650566185315 "k=3" "SingFunc"
"4" 0.00113353251731104 0.00113813592588497 "k=1" "FeatLoad"
"5" 0.00400552594147377 0.00388983515315901 "k=2" "FeatLoad"
"6" 0.0102471500788753 0.0105993135821107 "k=3" "FeatLoad"
"7" 0 0.000493215260119806 "all" "difR2"
"8" -53.5490090178939 -53.8835316159885 "survLL" "sLL"
"9" 495174.221086853 494765.358732453 "jointLL" "jointLL"
"10" 4.0794774273608 4.06997601331175 "surv_coef" "surv_coef"
"11" 3.15440021428646 3.04956000305115 "surv_coef" "surv_coef"
"12" -0.13750731461687 -0.190833111577897 "surv_coef" "surv_coef"
"13" 0.238086782657957 0.455369496588224 "surv_coef" "surv_coef"
"14" -0.0252918752722756 -0.055962232269279 "surv_coef" "surv_coef"
