"JM" "Two" "Comps" "Stat"
"1" 8.66168206346427e-05 0.00019549951771431 "k=1" "SingFunc"
"2" 6.73393921619319e-05 8.90410031117523e-05 "k=2" "SingFunc"
"3" 0.000187234365543823 0.000169149719215974 "k=3" "SingFunc"
"4" 0.00130929375979815 0.0013427874621739 "k=1" "FeatLoad"
"5" 0.00480269393795477 0.00483423518028957 "k=2" "FeatLoad"
"6" 0.00747694918616923 0.00735738965690962 "k=3" "FeatLoad"
"7" 0 0.000979520586143146 "all" "difR2"
"8" -51.4217702185583 -51.2382795123869 "survLL" "sLL"
"9" 478299.894358847 477831.285471346 "jointLL" "jointLL"
"10" 3.90469919078685 3.85741712434995 "surv_coef" "surv_coef"
"11" 3.29840532673079 3.17993939009779 "surv_coef" "surv_coef"
"12" -0.129227920274982 -0.15549265439011 "surv_coef" "surv_coef"
"13" 0.115172186208249 0.206215050466578 "surv_coef" "surv_coef"
"14" 0.0577234074096416 0.129439202005274 "surv_coef" "surv_coef"
