"JM" "Two" "Comps" "Stat"
"1" 6.01681765476971e-05 0.000475972941420059 "k=1" "SingFunc"
"2" 6.45586223883899e-05 0.000108488324079726 "k=2" "SingFunc"
"3" 0.00178966551973166 0.00139781200399918 "k=3" "SingFunc"
"4" 0.000720523068569848 0.000931086102775704 "k=1" "FeatLoad"
"5" 0.00257902967067314 0.00260691271818559 "k=2" "FeatLoad"
"6" 0.00574503806804095 0.00582771607561827 "k=3" "FeatLoad"
"7" 0 0.000588322499901817 "all" "difR2"
"8" -31.9127968360788 -30.4920948014957 "survLL" "sLL"
"9" 724885.994287149 724151.246676434 "jointLL" "jointLL"
"10" 3.86345836101273 3.73232821110367 "surv_coef" "surv_coef"
"11" 3.30817465943993 3.14096851566041 "surv_coef" "surv_coef"
"12" -0.251770958607086 -0.332886600299329 "surv_coef" "surv_coef"
"13" 0.239417223851939 0.474295205274403 "surv_coef" "surv_coef"
"14" 0.108160773874933 0.218381017345522 "surv_coef" "surv_coef"
