"JM" "Two" "Comps" "Stat"
"1" 5.71816135906805e-05 0.000581700761558601 "k=1" "SingFunc"
"2" 0.000274969904716204 0.000345567155978047 "k=2" "SingFunc"
"3" 0.000397104627034798 0.000602572340791276 "k=3" "SingFunc"
"4" 0.00136075507470257 0.00153037799668633 "k=1" "FeatLoad"
"5" 0.00419298659319716 0.00421700411508052 "k=2" "FeatLoad"
"6" 0.00794936744736135 0.00800260399774589 "k=3" "FeatLoad"
"7" 0 0.000953227457274775 "all" "difR2"
"8" -56.3198245200977 -50.3015959149914 "survLL" "sLL"
"9" 489973.008145355 489467.967780601 "jointLL" "jointLL"
"10" 3.71939151220351 3.53478784908138 "surv_coef" "surv_coef"
"11" 2.20475566760563 2.06270342644551 "surv_coef" "surv_coef"
"12" -0.140994991018645 -0.200849335968787 "surv_coef" "surv_coef"
"13" 0.239815656061782 0.547948395868126 "surv_coef" "surv_coef"
"14" -0.0795091556356237 -0.153482365340698 "surv_coef" "surv_coef"
