"JM" "Two" "Comps" "Stat"
"1" 0.000398339893636913 0.00409513620299221 "k=1" "SingFunc"
"2" 0.000465458455646671 0.00241069883933419 "k=2" "SingFunc"
"3" 0.00411397621182846 0.00341042545952259 "k=3" "SingFunc"
"4" 0.00235418262328345 0.00630606184696738 "k=1" "FeatLoad"
"5" 0.0102354987520531 0.0116679140222995 "k=2" "FeatLoad"
"6" 0.0126569649633636 0.0123661056490632 "k=3" "FeatLoad"
"7" 0 0.00077657679515597 "all" "difR2"
"8" -13.9425563411145 -10.195428238855 "survLL" "sLL"
"9" 236228.464189263 235568.003315009 "jointLL" "jointLL"
"10" 3.42943422374419 3.13259221593682 "surv_coef" "surv_coef"
"11" 2.73107325002993 2.37539909922405 "surv_coef" "surv_coef"
"12" -0.0241311607868805 -0.257382759810968 "surv_coef" "surv_coef"
"13" 0.444813290642936 0.815319698941076 "surv_coef" "surv_coef"
"14" -0.121244091318554 -0.135118130365012 "surv_coef" "surv_coef"
