"JM" "Two" "Comps" "Stat"
"1" 0.000185814932841204 0.00102716957893489 "k=1" "SingFunc"
"2" 0.000199264047641613 0.000321543121097577 "k=2" "SingFunc"
"3" 0.00311149274460837 0.00255899390768859 "k=3" "SingFunc"
"4" 0.00129035509399212 0.00159382888967091 "k=1" "FeatLoad"
"5" 0.0038292277425584 0.00395432603826436 "k=2" "FeatLoad"
"6" 0.00823051777625765 0.00820382992718968 "k=3" "FeatLoad"
"7" 0 0.000768869962450403 "all" "difR2"
"8" -41.5024045666396 -34.2260359327325 "survLL" "sLL"
"9" 483827.033750127 483308.48651483 "jointLL" "jointLL"
"10" 3.95986158489805 3.71486430031599 "surv_coef" "surv_coef"
"11" 2.7894989568114 2.5003375029793 "surv_coef" "surv_coef"
"12" -0.13240375253903 -0.263951077209716 "surv_coef" "surv_coef"
"13" 0.286953180255063 0.638692322227712 "surv_coef" "surv_coef"
"14" -0.0229295820142916 -0.0558548857567255 "surv_coef" "surv_coef"
