"JM" "Two" "Comps" "Stat"
"1" 0.00021652448593575 0.000362058554918903 "k=1" "SingFunc"
"2" 1.82401010443344 1.8176045965504 "k=2" "SingFunc"
"3" 1.88370391825249 1.876051874352 "k=3" "SingFunc"
"4" 0.00220680769768506 0.00247680200545569 "k=1" "FeatLoad"
"5" 1.04578985953735 1.02545980167368 "k=2" "FeatLoad"
"6" 1.02421196801918 1.01844418427985 "k=3" "FeatLoad"
"7" 0 0.00150835698610274 "all" "difR2"
"8" -18.4906991832335 -13.6060405542037 "survLL" "sLL"
"9" 251921.24656236 251569.09611724 "jointLL" "jointLL"
"10" 3.55628756292976 3.50329241013684 "surv_coef" "surv_coef"
"11" 3.12954305564928 3.03292228792346 "surv_coef" "surv_coef"
"12" -0.25839146094922 -0.343153331303433 "surv_coef" "surv_coef"
"13" -0.0384317902757729 -0.105948857631187 "surv_coef" "surv_coef"
"14" -0.232066524241371 -0.612896666868878 "surv_coef" "surv_coef"
