"JM" "Two" "Comps" "Stat"
"1" 0.000295271009958854 0.00542542998487147 "k=1" "SingFunc"
"2" 9.99666704593928e-05 0.00762693357177278 "k=2" "SingFunc"
"3" 0.00077676370356903 1.16377105857381 "k=3" "SingFunc"
"4" 0.00236207699762306 0.00553577813520493 "k=1" "FeatLoad"
"5" 0.0096881232083632 0.030477949830231 "k=2" "FeatLoad"
"6" 0.0114343807583934 0.0189438533802827 "k=3" "FeatLoad"
"7" 0 0.0157958056912632 "all" "difR2"
"8" -17.5827663560928 -17.6449439158304 "survLL" "sLL"
"9" 246270.924799233 236603.977237143 "jointLL" "jointLL"
"10" 3.99485956524224 3.51214886995734 "surv_coef" "surv_coef"
"11" 3.27016326134455 3.54451413257296 "surv_coef" "surv_coef"
"12" -0.208698055707426 -0.347172482439286 "surv_coef" "surv_coef"
"13" 0.224429718093228 0.298728032501253 "surv_coef" "surv_coef"
"14" -0.0940052097103737 -0.0782048584347051 "surv_coef" "surv_coef"
