"JM" "Two" "Comps" "Stat"
"1" 0.000150938964745594 0.000714428695272425 "k=1" "SingFunc"
"2" 0.000203653909557599 0.000197901156313136 "k=2" "SingFunc"
"3" 0.000332345169480621 0.000257905153248447 "k=3" "SingFunc"
"4" 0.00234693100436957 0.00249765345924144 "k=1" "FeatLoad"
"5" 0.00977419999150035 0.009810219009232 "k=2" "FeatLoad"
"6" 0.011486856358739 0.0115249004981367 "k=3" "FeatLoad"
"7" 0 0.00163758754379051 "all" "difR2"
"8" -14.4970129378218 -14.3077637362729 "survLL" "sLL"
"9" 248829.78974982 248580.148946738 "jointLL" "jointLL"
"10" 3.44879761041566 3.55809110995586 "surv_coef" "surv_coef"
"11" 3.01636954306916 3.21550624482264 "surv_coef" "surv_coef"
"12" -0.100626368421009 -0.143851732727665 "surv_coef" "surv_coef"
"13" 0.163872711797152 0.323079327281939 "surv_coef" "surv_coef"
"14" -0.0934448290773982 -0.191032317607821 "surv_coef" "surv_coef"
