"JM" "Two" "Comps" "Stat"
"1" 6.39799760344679e-05 0.000421161986676218 "k=1" "SingFunc"
"2" 0.000277341946738284 0.00033903256696832 "k=2" "SingFunc"
"3" 0.002940571638959 0.00503567046832847 "k=3" "SingFunc"
"4" 0.00265143571342521 0.00265194484349637 "k=1" "FeatLoad"
"5" 0.0120827235665053 0.0120408957576201 "k=2" "FeatLoad"
"6" 0.014266970909557 0.014301926748389 "k=3" "FeatLoad"
"7" 0 0.00165845123766406 "all" "difR2"
"8" -15.1461181899238 -14.7525659099727 "survLL" "sLL"
"9" 234609.375833307 234348.172398093 "jointLL" "jointLL"
"10" 3.96941526969272 3.95161583880057 "surv_coef" "surv_coef"
"11" 2.63986887353931 2.18790301624884 "surv_coef" "surv_coef"
"12" -0.311104851049886 -0.296045731122687 "surv_coef" "surv_coef"
"13" -0.227897363091083 -0.312653295321234 "surv_coef" "surv_coef"
"14" -0.10122759204736 -0.290024658956828 "surv_coef" "surv_coef"
