"JM" "Two" "Comps" "Stat"
"1" 7.68875078278001e-05 0.000653607901470132 "k=1" "SingFunc"
"2" 8.88457897341081e-05 0.00012325127322095 "k=2" "SingFunc"
"3" 0.00130063147182292 0.00134431566927372 "k=3" "SingFunc"
"4" 0.000776822223944534 0.00101828951835659 "k=1" "FeatLoad"
"5" 0.00285063572640635 0.00288497878959867 "k=2" "FeatLoad"
"6" 0.00483946781849717 0.00488996806455118 "k=3" "FeatLoad"
"7" 0 0.000569305739595016 "all" "difR2"
"8" -18.0027262888187 -17.5897380665045 "survLL" "sLL"
"9" 727691.776940456 726907.86275081 "jointLL" "jointLL"
"10" 3.05575812696622 3.11902324845786 "surv_coef" "surv_coef"
"11" 3.06802730175679 3.15491298594095 "surv_coef" "surv_coef"
"12" -0.172078684271439 -0.26297856962349 "surv_coef" "surv_coef"
"13" 0.280768891466627 0.53861197214126 "surv_coef" "surv_coef"
"14" 0.058281171084785 0.129857841228542 "surv_coef" "surv_coef"
