"JM" "Two" "Comps" "Stat"
"1" 3.72869226104291e-05 0.000562185303098532 "k=1" "SingFunc"
"2" 0.000184226031195226 0.000122734757529855 "k=2" "SingFunc"
"3" 0.000441262649978956 0.000480418061421826 "k=3" "SingFunc"
"4" 0.00114476915102507 0.00124655191786993 "k=1" "FeatLoad"
"5" 0.00389444004417378 0.00394764087323574 "k=2" "FeatLoad"
"6" 0.00707173437323824 0.00701973558194648 "k=3" "FeatLoad"
"7" 0 0.000903684039912367 "all" "difR2"
"8" -45.5368112435138 -42.974435946528 "survLL" "sLL"
"9" 502536.62534654 502120.922567684 "jointLL" "jointLL"
"10" 4.02954104586087 4.02747243989066 "surv_coef" "surv_coef"
"11" 2.84520622551827 2.84223994180628 "surv_coef" "surv_coef"
"12" -0.0732691408588584 -0.133587414621245 "surv_coef" "surv_coef"
"13" 0.218455862339092 0.440925882929246 "surv_coef" "surv_coef"
"14" 0.0775743167570833 0.20498845729929 "surv_coef" "surv_coef"
