"JM" "Two" "Comps" "Stat"
"1" 9.81526397400295e-05 0.000446170598019136 "k=1" "SingFunc"
"2" 0.000231732963749272 0.000536336053273088 "k=2" "SingFunc"
"3" 0.000736000272317726 0.0326126614031335 "k=3" "SingFunc"
"4" 0.00116917198418105 0.00123872148028958 "k=1" "FeatLoad"
"5" 0.00667665219151238 0.00744145780612755 "k=2" "FeatLoad"
"6" 0.0110219172420618 0.0105854455453967 "k=3" "FeatLoad"
"7" 0 0.000590291057530501 "all" "difR2"
"8" 35.7171468881655 38.1383579606162 "survLL" "sLL"
"9" 488764.73700957 487909.893894711 "jointLL" "jointLL"
"10" 2.86525214912608 2.62514969798925 "surv_coef" "surv_coef"
"11" 3.15578277270055 2.84950247886312 "surv_coef" "surv_coef"
"12" -0.00546445124591851 -0.0929605483031177 "surv_coef" "surv_coef"
"13" 0.246825788007931 0.501767799347935 "surv_coef" "surv_coef"
"14" 0.00719720666731318 0.0218710358069204 "surv_coef" "surv_coef"
