"JM" "Two" "Comps" "Stat"
"1" 4.78135306919884e-05 0.00255210964130739 "k=1" "SingFunc"
"2" 0.000523642575690341 0.0185573140074994 "k=2" "SingFunc"
"3" 0.000422014990394204 1.79366891505945 "k=3" "SingFunc"
"4" 0.00111945146126189 0.00469287999720015 "k=1" "FeatLoad"
"5" 0.00717956625859612 0.344933608132411 "k=2" "FeatLoad"
"6" 0.00828883563711535 0.340622510738285 "k=3" "FeatLoad"
"7" 0 0.0165510652889702 "all" "difR2"
"8" 15.2773861475248 16.44076312895 "survLL" "sLL"
"9" 489602.664463455 472056.724439147 "jointLL" "jointLL"
"10" 3.02903753005215 2.88990492423535 "surv_coef" "surv_coef"
"11" 2.20829043568952 2.10890744843562 "surv_coef" "surv_coef"
"12" -0.0994088064063351 -0.116543626776259 "surv_coef" "surv_coef"
"13" 0.211294941614978 0.24143396236714 "surv_coef" "surv_coef"
"14" -0.0534116288838101 -0.290275480498407 "surv_coef" "surv_coef"
