"JM" "Two" "Comps" "Stat"
"1" 0.000123295503203783 0.000814613107973576 "k=1" "SingFunc"
"2" 0.000187000260315531 0.000859022083180501 "k=2" "SingFunc"
"3" 0.000266711796567205 0.000309634246833179 "k=3" "SingFunc"
"4" 0.000687551138535188 0.0013556495247302 "k=1" "FeatLoad"
"5" 0.00487178084174299 0.00512272211281357 "k=2" "FeatLoad"
"6" 0.00649945055214652 0.0066711211233886 "k=3" "FeatLoad"
"7" 0 0.000584963448029829 "all" "difR2"
"8" 87.4271002303148 93.6613344993732 "survLL" "sLL"
"9" 740327.624785798 739541.005275184 "jointLL" "jointLL"
"10" 3.02022789589796 2.87418824835677 "surv_coef" "surv_coef"
"11" 2.57444414610053 2.46873887693773 "surv_coef" "surv_coef"
"12" -0.084971321020517 -0.222442982210141 "surv_coef" "surv_coef"
"13" 0.260696412587265 0.521381948574193 "surv_coef" "surv_coef"
"14" 0.0155560513443095 0.123794514323776 "surv_coef" "surv_coef"
