"JM" "Two" "Comps" "Stat"
"1" 0.000148756129681932 0.00107336798096607 "k=1" "SingFunc"
"2" 0.000468961277182833 0.00207600254491576 "k=2" "SingFunc"
"3" 0.00234999315119199 0.0523011043943366 "k=3" "SingFunc"
"4" 0.0011363329938519 0.00119071188883138 "k=1" "FeatLoad"
"5" 0.00784726606511353 0.00795961678210118 "k=2" "FeatLoad"
"6" 0.00961816690715385 0.0134338733582885 "k=3" "FeatLoad"
"7" 0 0.000241560993271439 "all" "difR2"
"8" 16.3807444030867 18.5619702757027 "survLL" "sLL"
"9" 491991.783164592 490809.157883144 "jointLL" "jointLL"
"10" 3.52403286507423 3.51782205986298 "surv_coef" "surv_coef"
"11" 2.72310172158706 2.57686822250155 "surv_coef" "surv_coef"
"12" -0.0946533467569591 -0.164748683278492 "surv_coef" "surv_coef"
"13" 0.296662762522443 0.589248015205606 "surv_coef" "surv_coef"
"14" 0.0357042756342308 0.103031631650721 "surv_coef" "surv_coef"
