"JM" "Two" "Comps" "Stat"
"1" 0.000240540829028409 0.00434032349529523 "k=1" "SingFunc"
"2" 9.73747512005931e-05 0.00038419058157291 "k=2" "SingFunc"
"3" 0.00128868435823451 0.00129659258601045 "k=3" "SingFunc"
"4" 0.000775704268619781 0.00189376292875487 "k=1" "FeatLoad"
"5" 0.00380478246821293 0.00410266105343966 "k=2" "FeatLoad"
"6" 0.00624842966877479 0.00682436670490098 "k=3" "FeatLoad"
"7" 0 0.000350326832260439 "all" "difR2"
"8" 117.942322583042 126.223596640163 "survLL" "sLL"
"9" 733893.195359255 732406.939242456 "jointLL" "jointLL"
"10" 3.3489307180671 3.14143266538147 "surv_coef" "surv_coef"
"11" 3.14337689281085 2.83333702730898 "surv_coef" "surv_coef"
"12" -0.138703475305771 -0.336480021281555 "surv_coef" "surv_coef"
"13" 0.339958310937132 0.673098093783939 "surv_coef" "surv_coef"
"14" -0.00120003039172834 -0.0831313870522255 "surv_coef" "surv_coef"
