"JM" "Two" "Comps" "Stat"
"1" 0.00015619853200669 0.001164734468326 "k=1" "SingFunc"
"2" 0.000121888986279184 0.00114452396318206 "k=2" "SingFunc"
"3" 0.0011393299141301 0.00035302021268615 "k=3" "SingFunc"
"4" 0.00118681738777154 0.0018043183582629 "k=1" "FeatLoad"
"5" 0.00711599547727155 0.00804799196825613 "k=2" "FeatLoad"
"6" 0.00949870308860925 0.00972093567400719 "k=3" "FeatLoad"
"7" 0 0.000848842083993051 "all" "difR2"
"8" 50.1964596421847 50.7840917254955 "survLL" "sLL"
"9" 493141.704776648 492550.219894962 "jointLL" "jointLL"
"10" 3.72943210836687 3.4888365466407 "surv_coef" "surv_coef"
"11" 2.88689115329116 2.58725169600428 "surv_coef" "surv_coef"
"12" -0.077978941195036 -0.240159053577637 "surv_coef" "surv_coef"
"13" 0.345709042092305 0.654031561382029 "surv_coef" "surv_coef"
"14" 0.0712900814626588 0.143620844274026 "surv_coef" "surv_coef"
