"JM" "Two" "Comps" "Stat"
"1" 0.000303326920406036 0.00099022445575869 "k=1" "SingFunc"
"2" 0.000397240231905221 0.00166555532695394 "k=2" "SingFunc"
"3" 0.0105567940789512 0.0474301161415643 "k=3" "SingFunc"
"4" 0.00114654911087675 0.00121396885814722 "k=1" "FeatLoad"
"5" 0.00964877352348551 0.010214438493871 "k=2" "FeatLoad"
"6" 0.0108016045974168 0.0147680193452463 "k=3" "FeatLoad"
"7" 0 0.000295562057627485 "all" "difR2"
"8" 36.0513891645683 38.4346877092445 "survLL" "sLL"
"9" 500724.336896018 499666.108135106 "jointLL" "jointLL"
"10" 3.43663104340648 3.37417227285009 "surv_coef" "surv_coef"
"11" 2.85535210354875 2.80853898856891 "surv_coef" "surv_coef"
"12" -0.194547929614161 -0.247840688208873 "surv_coef" "surv_coef"
"13" 0.201287132804255 0.405791245905245 "surv_coef" "surv_coef"
"14" 0.0379634704842177 0.0395910069795688 "surv_coef" "surv_coef"
