"JM" "Two" "Comps" "Stat"
"1" 8.36989762894236e-05 0.000442508426927802 "k=1" "SingFunc"
"2" 0.000263529643057181 0.000405250622195099 "k=2" "SingFunc"
"3" 0.000641875117812332 0.000200797368797269 "k=3" "SingFunc"
"4" 0.00121737164647758 0.00140412831682475 "k=1" "FeatLoad"
"5" 0.00778313989854392 0.00784886210516698 "k=2" "FeatLoad"
"6" 0.00924092577768758 0.00926193647947364 "k=3" "FeatLoad"
"7" 0 0.000951787854794217 "all" "difR2"
"8" 0.399890936436103 3.84012290058817 "survLL" "sLL"
"9" 488700.262023386 488245.518180424 "jointLL" "jointLL"
"10" 3.19066220626034 3.03820031113136 "surv_coef" "surv_coef"
"11" 1.85040144629164 1.6972312706387 "surv_coef" "surv_coef"
"12" -0.0598223043150253 -0.137943032865425 "surv_coef" "surv_coef"
"13" 0.258230368639876 0.49304195987743 "surv_coef" "surv_coef"
"14" -0.0399602264330328 -0.14147074758743 "surv_coef" "surv_coef"
