"","Time","Type","Method"
"1",18318.882,"MF","JM"
"2",7.57600000000093,"DP","JM"
"3",23622.837,"MF","JM_S"
"4",5.28699999999662,"DP","JM_S"
"5",0.15400000000227,"MF","CPH"
"6",1.34399999999732,"DP","CPH"
