"","Time","Type","Method"
"1",17792.511,"MF","JM"
"2",3.15400000000227,"DP","JM"
"3",24773.111,"MF","JM_S"
"4",5.72400000000198,"DP","JM_S"
"5",0.186000000001513,"MF","CPH"
"6",1.73500000000058,"DP","CPH"
