"","Time","Type","Method"
"1",34637.815,"MF","JM"
"2",9.45300000000134,"DP","JM"
"3",32776.223,"MF","JM_S"
"4",8.36499999999069,"DP","JM_S"
"5",0.218999999997322,"MF","CPH"
"6",4.31499999998778,"DP","CPH"
