"","Time","Type","Method"
"1",34756.522,"MF","JM"
"2",9.53299999999581,"DP","JM"
"3",33137.178,"MF","JM_S"
"4",8.97899999999208,"DP","JM_S"
"5",0.189000000013039,"MF","CPH"
"6",4.79399999999441,"DP","CPH"
