"","iAUC","iBS","LmT","Method"
"1",0.789580404206165,0.0965197506976502,18,"JM"
"2",0.618516575103225,0.103383988343486,18,"JM_S"
"3",0.774976117858155,0.0968891394534952,18,"CPH"
