"","Time","Type","Method"
"1",26653.605,"MF","JM"
"2",9.02600000000166,"DP","JM"
"3",26624.017,"MF","JM_S"
"4",9.15699999999924,"DP","JM_S"
"5",0.156000000002678,"MF","CPH"
"6",4.92500000000291,"DP","CPH"
