"","Time","Type","Method"
"1",34891.183,"MF","JM"
"2",9.71199999999953,"DP","JM"
"3",33249.056,"MF","JM_S"
"4",8.59799999999814,"DP","JM_S"
"5",0.157999999995809,"MF","CPH"
"6",4.61100000000442,"DP","CPH"
