"JM" "Two" "Comps" "Stat"
"1" 0.000769492483511191 0.00839703265191284 "k=1" "SingFunc"
"2" 1.82623144931789 1.1295639599996 "k=2" "SingFunc"
"3" 1.85948191211245 1.93930622994478 "k=3" "SingFunc"
"4" 0.00560064306096195 0.0516857730981075 "k=1" "FeatLoad"
"5" 4.9720570544938 3.45681419391571 "k=2" "FeatLoad"
"6" 5.16394416522251 5.28061350723393 "k=3" "FeatLoad"
"7" 0 0.0141776907154622 "all" "difR2"
"8" 9.43108413410677 10.6475800295 "survLL" "sLL"
"9" 24462.3416609195 21843.8738857443 "jointLL" "jointLL"
"10" 3.89014359826115 3.16948438687095 "surv_coef" "surv_coef"
"11" 3.2984557145991 2.43585294047318 "surv_coef" "surv_coef"
"12" -0.185366855786249 -0.246683418134945 "surv_coef" "surv_coef"
"13" 0.0665361982433689 0.233971911773746 "surv_coef" "surv_coef"
"14" -0.128590049208238 0.169991639653566 "surv_coef" "surv_coef"
